HRAF.culture,tip.label,Expression,Restrictiveness,lat,long,Subsistence_Pattern,Subsistence,Biome,Landscape,MeanMonthlyTemperature,Temperature_Predictability,Temperature_Variance,Precipitation_Variance,MeanMonthlyPrecipitation,Precipitation_Predictability,Men_Poly
Balinese,Balinese,1,3,-9,115,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.835891421,1,15887286508,177016.72,0.625700618,18
Burmans,Burmese,1,2,22,96,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.693668726,17,13002196174,101497.28,0.534675439,0
Javanese,Javanese,1,2,-8,112,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.814093763,0,15377980634,188300.98,0.654488941,2
Kapauku,Kapauku,0,0,-4,136,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.849195744,0,29213650732,330068.14,0.653550567,31
Cambodians,Khmer,1,2,12,105,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.739226829,3,22299796285,186258.22,0.683406944,
Yi,Lolo,1,1,28,104,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,10,0.675058953,44,7338060720,108919.25,0.664730881,3
Kimam,MISSING_Kimam,1,3,-8,139,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.835337738,1,13856923015,175932.42,0.648898766,15
Quiche Maya,Quiche,1,1,15,-91,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.777626739,3,9210797676,90766.67,0.676147291,
Central Thai,Siamese,1,1,14,101,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.710509079,9,20087073747,149789.93,0.668414215,1
Tanala,Tanala,0,0,-22,48,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.782051936,6,10140991395,117686.56,0.64028757,31
Vietnamese,Vietnamese,1,2,21,106,Intensive Agricultralists,Agriculture,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.694632321,32,10912991575,113964.15,0.620375247,
Akan,Ashanti,1,3,7,-2,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.76971966,2,6752452184,116988,0.696104421,49
Aymara,Aymara,1,2,-16,-66,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,18,0.746889376,4,31254400384,233882.15,0.658866592,0
Kuna,Cuna_Tule,1,2,9,-79,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.844883836,0,21744630225,156628.37,0.754203495,1
Garo,Garo,1,3,26,91,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.676833729,27,15283382412,116149.27,0.503631168,9
Iban,Iban,1,1,2,113,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.85501586,0,11016841047,241816.67,0.684465027,0
Igbo,Ibo,1,3,6,7,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.784091609,2,8374543041,138728.19,0.705665753,24
Jivaro,Jivaro,1,2,-3,-78,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.776108034,1,8841008874,118612.38,0.713244058,50
Mara,Lakher,1,2,22,93,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,22,0.721559698,18,13169633272,110430.32,0.585944256,
Mende,Mende,1,1,8,-12,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.817180001,1,57923937221,235053.32,0.697608287,90
Mongo,Nkundo_Mongo,1,1,-1,19,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.81980859,0,7122628458,196079.76,0.7877248,
Eastern Toraja,Toradja,1,2,-2,121,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.842534407,0,14773302749,245748.54,0.669679837,
Samoans,Western_Samoans,1,1,-14,-172,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.84497839,1,12213542079,219723.26,0.677829062,0
Yanomami,Yanomamo,1,3,2,-65,Horticultralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.7939747,0,18950462637,190459.49,0.692074174,38
Siwai,Siuai,1,1,-7,155,Agro-Pastoralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.85913973,0,16864903667,289372.46,0.72167192,14
Tsonga,Thonga,0,0,-26,32,Agro-Pastoralists,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,18,0.718662611,9,12418251664,134197.58,0.634970748,40
Amahuaca,Amahuaca,1,2,-10,-72,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.748946486,1,5823699641,114339.03,0.726753273,50
Talamancans,Bribri,1,2,9,-83,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.8055649,0,13672070334,112754.13,0.737767558,5
Tukano,Cubeo_Tucano,1,3,1,-71,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.808392515,0,8701186359,248037.87,0.816894928,3
Gond,Gond,1,3,20,81,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.691012822,18,24696382253,132169.32,0.549625275,
Kwoma,Kwoma,1,2,-4,143,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.8395235,0,23857301913,375291.93,0.758307521,38
Marquesas,Marquesans,1,2,-9,-140,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.787867357,0,22176393604,154798.14,0.638503399,0
Marshallese,Marshallese,1,3,6,169,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,28,0.856103189,0,17777078999,302548.23,0.6959807,
Saramaka,Saramacca,1,3,4,-56,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.724681911,2,7982395717,98884.88,0.726687272,60
Tikopia,Tikopia,1,1,-12,169,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.844851678,1,15697970977,239613.6,0.677857147,5
Trobriands,Trobrianders,1,1,-9,151,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.848110871,1,12473689601,206628.76,0.672301215,
Chuuk,Trukese,1,3,7,152,Other Combos,Horticulture,Tropical & Subtropical Moist Broadleaf Forests,Forests,28,0.854249051,0,18619153518,281260.56,0.697768963,0
Andamans,Andamanese,1,3,12,93,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.805758564,2,31205924957,159977.04,0.589804953,0
Sama-Bajau,Badjau,0,0,5,120,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.842628436,0,9218356714,210298.77,0.699791859,0
Island Carib,Callinago,1,3,15,-61,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.853289992,1,1681700105,41612.62,0.637897047,30
Barama River Carib,Carib_Barama,1,3,7,-60,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.784225637,1,3196062741,82988.23,0.797256885,20
Kiribati,Gilbertese,1,3,3,173,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.80060325,0,23456572588,209493.38,0.559455676,
Manus,Manus,1,1,-2,147,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,28,0.842232695,0,10765114054,219223.79,0.625105769,2
Mbuti,Mbuti,1,3,2,28,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.816795745,0,8474274385,246503.22,0.784538547,6
Miskito,Miskito,1,3,15,-83,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.856405403,1,3617435018,75804.74,0.715106202,2
Semang,Semang,1,2,5,101,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.830861754,1,23289771427,241032.26,0.682639897,1
Siriono,Siriono,1,1,-15,-64,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.699749967,3,6801139023,99838.91,0.627940061,28
Trumai,Trumai,1,1,-12,-54,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.750440693,4,16468389692,138303.4,0.616533436,12
Tupinamba,Tupinamba,1,2,-23,-45,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,19,0.726463941,8,9477828432,119486.36,0.650196306,30
Warao,Warrau,1,3,9,-62,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.833988352,1,2053100779,60798.89,0.776031139,60
Chachi,Cayapa,0,0,1,-79,Other Combos,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.783821885,0,16219626157,256564.75,0.730143807,0
Toda,Toda,1,3,12,77,Pastoralists,Pastoralism,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.79479302,2,36643643801,196914.37,0.636273301,1
Fellahin,Egyptians,1,1,25,33,Intensive Agricultralists,Agriculture,Flooded Grasslands & Savannas,Grasslands,24,0.657733079,56,61013724,2906.47,0.351085543,3
Lozi,Lozi,1,2,-16,24,Other Combos,Agriculture,Flooded Grasslands & Savannas,Grasslands,22,0.715611495,11,16848707242,105957.49,0.515210058,40
Amhara,Amhara,1,1,13,38,Intensive Agricultralists,Agriculture,Montane Grasslands & Shrublands,Grasslands,20,0.722535314,4,7102274111,73701.4,0.519560893,0
Inka,Inca,1,1,-14,-72,Intensive Agricultralists,Agriculture,Montane Grasslands & Shrublands,Grasslands,3,0.730279602,3,41396047734,308214.49,0.820655606,10
Lepcha,Lepcha,1,3,28,89,Intensive Agricultralists,Agriculture,Montane Grasslands & Shrublands,Grasslands,8,0.69638479,39,96491128664,253037.73,0.534284911,21
Nyakyusa and Ngonde,Nyakyusa,1,3,-10,34,Intensive Agricultralists,Agriculture,Montane Grasslands & Shrublands,Grasslands,18,0.752033892,8,14085952159,110479.41,0.728508561,44
Armenia,Armenians,1,1,40,45,Intensive Agricultralists,Agriculture,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,7,0.583140594,95,947079950,47323.33,0.653814772,0
Hidatsa,Hidatsa,1,3,47,-101,Intensive Agricultralists,Agriculture,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,7,0.508878774,188,766656465,37897.46,0.633481258,90
Pawnee,Pawnee,1,1,42,-100,Other Combos,Horticulture,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,10,0.526247596,141,1386862473,49431.81,0.613605807,54
Comanche,Comanche,1,3,34,-102,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,15,0.568641162,95,1583535098,60381.73,0.575382605,25
Gros Ventre,Gros_Ventre,1,1,48,-108,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,7,0.509995463,149,590114282,38480.41,0.658103503,40
Omaha,MISSING_Omaha,1,3,41,-97,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,12,0.524770885,161,1387105739,53964.64,0.616569554,35
Tehuelche,Tehuelche,0,0,-41,-68,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,8,0.651734691,37,602182954,42585.36,0.61734263,1
Yokuts,Yokuts_Lake,1,2,35,-120,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,17,0.6188898,29,2700143356,32750.65,0.419393038,5
Kazakh,Kazak,1,1,43,76,Pastoralists,Pastoralism,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,3,0.57909679,120,861589161,40559.54,0.624230961,10
Ganda,Ganda,1,3,0,33,Intensive Agricultralists,Agriculture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,22,0.779701391,1,15279696081,136714.31,0.604572546,55
Gikuyu,Kikuyu,1,1,-1,37,Intensive Agricultralists,Agriculture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,18,0.772535365,1,2391993146,48525.62,0.669648678,
Nuba,Otoro_Nuba,1,3,11,31,Intensive Agricultralists,Agriculture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.720400228,4,5077602208,78687.65,0.654283409,
Songhai,Songhai,1,1,17,-2,Intensive Agricultralists,Agriculture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,27,0.669153854,30,777977038,18839.65,0.579141479,1
Tallensi,Tallensi,0,0,11,-1,Intensive Agricultralists,Agriculture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.727287881,4,8784440210,87246.74,0.634377422,40
Bambara,Bambara,1,3,13,-7,Agro-Pastoralists,Agriculture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.715705273,7,9041559139,80352.36,0.645309212,
Masa,Massa_Masa,0,0,11,16,Agro-Pastoralists,Agriculture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.721990878,4,6003048458,77687.36,0.651249858,
Azande,Azande,1,1,5,28,Horticultralists,Horticulture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,22,0.776169832,1,12359177298,177589.06,0.706924385,32
Bemba,Bemba,1,2,-11,31,Horticultralists,Horticulture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,18,0.751397474,9,20553738597,126297.48,0.719558678,2
Fon,Fon,1,3,7,2,Horticultralists,Horticulture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.772019014,1,7891901482,118937.91,0.672336889,
Luguru,Luguru,1,3,-7,38,Horticultralists,Horticulture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,21,0.808886348,4,5819966558,116820.56,0.707984455,
Ovimbundu,Mbundu,1,3,-12,17,Horticultralists,Horticulture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,18,0.741032035,3,13661008540,122664.13,0.569825805,27
Tiv,Tiv,1,1,7,9,Horticultralists,Horticulture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,24,0.770463564,2,12760382786,150153.63,0.650224499,20
Wolof,Wolof,1,2,14,-15,Horticultralists,Horticulture,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,27,0.770896687,3,950682474,20853.2,0.550238113,39
Hadza,Hadza,1,1,-4,35,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,19,0.741498826,3,10440323091,86607.66,0.667924294,6
San,Kung_Bushmen,1,2,-20,21,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,21,0.663742143,15,11601735251,87000,0.478079126,10
Enxet and Enlhet,Lengua,1,2,-23,-59,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.628947046,13,6264653158,97963.02,0.608324256,3
Nambicuara,MISSING_Nambicuara,1,1,-13,-59,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,24,0.724191694,3,11398012340,120205.15,0.622984362,31
Xavante,Shavante,1,2,-14,-52,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.706246565,4,15093364988,118024.23,0.585009656,24
Tiwi,Tiwi,1,2,-11,131,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,27,0.809061767,2,27168025880,148308.81,0.604742188,70
Maasai,Masai,0,0,-4,37,Pastoralists,Pastoralism,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,19,0.75700962,3,4960612801,71294.37,0.696066264,41
Fulani,Pastoral_Fulani,1,2,15,8,Pastoralists,Pastoralism,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.6750865,21,2377791781,35297.96,0.58098193,5
Somali,Somali,1,2,9,47,Pastoralists,Pastoralism,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,23,0.723550239,7,1958075071,38064.72,0.598009921,43
Burusho,Burusho,1,3,36,75,Intensive Agricultralists,Agriculture,Ice,Tundra,-10,0.575711386,135,2968959468,76644.64,0.600620664,
Copper Inuit,Copper_Eskimo,1,1,69,-113,Hunter-Gatherers,Hunter-Gatherers,Tundra,Tundra,-14,0.434701346,287,183123377,23707.47,0.676987644,5
Yukaghir,Yukaghir,1,1,65,154,Hunter-Gatherers,Hunter-Gatherers,Tundra,Tundra,-14,0.467298378,361,349239596,32568.67,0.652616472,1
Nenets,Yurak_Samoyed,1,2,68,52,Hunter-Gatherers,Hunter-Gatherers,Tundra,Tundra,-5,0.459163422,145,418058681,42108.24,0.686769175,0
Chukchee,Chukchee,1,3,67,180,Pastoralists,Pastoralism,Tundra,Tundra,-14,0.4673705,159,715301571,50583.29,0.623083252,33
